,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
65,268656,271898,277194,279142,277435,272970,273479,277129,276778,271660,253602,233745,207548,215907,314801,299254,287775,271551,270023,267845,271129,264138,258748,259872,262543,264762,260902,254827,254227,261716,266519,271031,274879,273854,270774,256040,274425,302034,318439,315708,321178,410888,374775,353009,340422
66,256771,258688,262353,267358,268980,267741,263688,264466,268085,268152,263449,245841,226832,201621,209684,305283,292582,279800,264566,262805,260917,263839,257533,252375,253857,256654,258900,255562,249909,249300,257335,261298,265392,269512,269049,265642,251311,270741,297866,315352,311199,317268,406033,370703,348975
67,242126,246073,248514,252199,257350,258499,257842,254089,254951,258858,258703,254391,237822,219650,195314,202967,298155,283456,271436,256884,255237,253257,255970,250446,245728,247424,250425,252835,249599,244844,244557,251999,255684,259857,264398,263891,260828,246920,266696,293907,311420,306951,313085,401139,366002
68,229142,231464,235430,237805,241772,246484,247910,247599,244182,245353,249266,248667,245027,229363,212124,188478,195124,287860,274255,262671,248910,247184,245383,248084,243213,238840,240734,244050,246463,243498,239526,239004,246320,249835,254287,258915,258793,256227,242180,262809,289369,306684,302324,308651,395680
69,212113,218015,220585,224213,226607,230596,235594,237072,237026,234454,235528,238766,238653,235349,220460,203916,179990,187779,277386,264361,253524,240181,238729,237240,240033,235674,231655,233936,237251,239762,237683,233441,232728,240136,244060,248308,253398,253891,251196,237541,258169,284257,301597,297435,303869
70,195543,200592,206714,209266,213078,215348,219265,224229,226157,226488,223536,224859,228035,228451,225227,211334,194261,172780,180351,266224,253902,243928,231076,229858,228954,231375,227786,224176,226731,230058,233101,231175,226908,226475,234307,238139,242681,248094,248533,246224,232241,253211,278987,296181,292273
71,178712,184127,189155,195058,197793,201266,203950,207588,212704,215078,215883,212375,213949,217322,217688,214645,200821,185841,165460,172444,254761,243352,233986,221919,220995,220052,222699,219904,216279,219306,223043,225750,224261,220123,220116,228111,232084,236873,242514,243234,240410,227020,247889,273383,290461
72,152493,167102,172716,177396,183148,185868,189465,192152,195893,201073,203315,203720,200990,202928,206099,206374,203607,191115,177531,157720,164256,242877,232600,223469,212465,211531,211083,213740,211411,208150,211854,215378,217893,216879,213255,213403,221912,225979,230669,236773,237351,234508,221555,242115,267272
73,137535,141731,155620,160372,165858,171235,173965,177245,180242,183997,189376,190605,191376,189422,191474,194393,195211,192495,181509,168509,149907,156901,230850,221603,212960,202547,201886,202005,204506,202571,200099,203683,207222,210007,209586,206170,207007,215608,219484,224392,230545,231232,228348,216099,236273
74,125989,127283,131134,143810,148533,153667,158990,161852,164721,168430,171436,176619,178164,179245,177488,179712,182884,183965,181547,171292,159390,141873,149198,218087,210281,202074,192592,192263,192472,194875,193992,191545,195074,198817,202148,202020,199181,200431,208905,212796,217713,224191,224857,222372,210093
75,113815,115758,117018,120557,132230,136894,141891,146730,149645,152803,155060,158965,163898,165840,167000,165245,167723,171200,172777,170216,161136,149779,133514,140984,205590,198739,191042,182383,182086,182573,185593,184834,182685,186479,190724,194047,194541,191869,193518,202127,205743,210965,217282,218364,215612
76,104190,103834,105687,106830,109917,121011,125258,130002,134489,138072,141553,142747,146737,151452,153299,154185,153306,156003,159713,160984,159205,150765,140269,124836,133132,192718,186986,180253,171989,171962,173220,175917,175384,173780,177755,182299,185921,186736,184241,186377,194943,198634,203509,210416,210995
77,92433,94826,93923,95932,97164,99795,109928,113727,118144,122920,125895,129512,130705,134615,139039,140489,142346,141571,144609,147873,149506,147748,139559,130349,116312,125027,179697,175417,168993,161395,162216,163104,165885,165811,164821,169064,173616,177548,178595,176340,178995,187360,191081,196226,202447
78,84156,83120,85355,84396,86302,87244,90112,98966,102662,107176,111680,114072,117411,118871,122692,126504,128868,130544,130018,132893,136311,137711,136213,129111,120718,107667,117089,167079,163620,157347,151353,152035,152994,155985,156137,155679,160189,164880,168976,170560,168328,171324,179314,183409,188015
79,73596,75032,74008,76375,75244,77037,78159,80599,88378,91960,96699,100415,102691,105996,107394,110505,115314,117357,119123,118415,121363,124892,126311,124971,118656,110898,99198,109518,154000,151913,146568,140931,141654,142860,145855,146779,146707,151161,155799,160306,162073,160485,163156,171376,174775
80,65729,65062,66122,65698,67645,66250,68328,69177,71262,78528,82731,85909,89865,92345,95263,96518,100135,103643,105997,107308,107049,110051,113702,114400,113944,107883,101375,91117,101766,141029,140566,135235,130324,131247,132891,136079,137165,137461,141915,146885,151412,153369,151839,154867,162277
81,56767,57808,56834,57876,57579,59184,58312,59773,60715,62611,70080,73069,75865,79720,81881,84488,85839,89207,92697,94508,96187,96337,99294,101957,103427,102821,97416,92063,82989,94125,128965,128938,124012,119643,121076,122953,126280,127567,127892,132643,137671,142281,144171,143293,145722
82,49718,49312,50160,49244,50089,49724,51628,50865,51932,52913,54980,60988,63885,66567,70044,71823,74654,75847,79209,81902,83950,85661,85912,88366,91261,92374,92281,87787,82904,74942,87017,116730,116944,112924,109428,111028,113084,116289,117744,118635,123344,128283,132435,134990,133787
83,41535,42692,41992,43048,41814,42742,42626,44408,43529,44578,45209,47396,52530,55430,57720,60768,62687,65281,66453,68861,71966,73923,75775,75820,78198,80669,81885,82253,77953,73834,67272,78902,104564,105187,102225,99407,101186,103230,106590,108390,109283,113935,118502,122882,124667
84,34221,35154,36137,35348,36299,34847,36070,36114,37732,36992,37893,38680,40369,44923,47516,49379,52496,54122,56534,57293,59620,62638,64597,65840,66325,68352,70863,72149,72277,68463,65572,60050,70968,92600,93761,92047,89785,91646,93339,97094,98834,99655,103926,109044,112442
85 / 85+,28629,28322,29125,30157,29460,30348,28893,30109,30150,31879,140928,143307,146409,150976,158469,166165,175892,185666,195875,203433,48776,51142,54097,55247,56858,57172,59261,61691,62528,62893,59699,57602,52561,63356,81309,82968,82152,80143,82011,83994,87567,89415,89881,94559,98571
86,23504,23423,22984,23812,24840,24066,25068,23712,24905,24778,,,,,,,,,,,40535,41491,43719,45658,47220,48486,48768,50959,52915,53620,54489,51630,50055,45381,55995,70836,72439,72461,70795,72954,74967,78149,79740,81063,84424
87,18373,18952,18777,18655,19179,20114,19671,20569,19002,20324,,,,,,,,,,,32056,33984,34915,36341,38601,39554,40812,41360,43123,44808,45785,46583,43878,42689,38879,49178,60737,62765,63096,62180,64219,66193,68707,70905,71190
88,14660,14524,15063,14845,14797,15217,16183,15730,16555,15095,,,,,,,,,,,25220,26351,28103,28504,30119,31799,32803,34041,34287,35898,37584,38574,39347,36753,35945,32928,42938,51043,53242,54632,53899,55818,57350,60107,61372
89,11458,11594,11266,11771,11463,11413,11938,12804,12364,13443,,,,,,,,,,,19209,20393,21594,22670,23436,24396,25910,26975,27780,28108,29739,30973,31856,32656,30319,30023,27509,37194,42216,44656,46501,45993,47477,49451,51143
90,29214,30334,30604,30865,31372,31427,31780,32514,34141,35291,,,,,,,,,,,46262,50027,54589,57295,61377,64525,68004,73026,76835,80597,85079,88360,92468,96834,100975,102813,104215,102511,109977,120362,130127,141163,148143,157790,163519
