Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
68,296521,299545,305821,304150,305148,310698,312641,310298,306081,304678,309736,310867,305362,282312,261490,234599,241093,350415,332435,313648,297699,292015,286812,285717,279618,273708,276503,279586,278239,271651,265695,262670,268842,273053,276788,279977,280576,277305,263086,283333,309628,324940,322121,327926,418856
69,282669,289230,292228,298479,297025,297798,303683,305561,303570,299548,298409,302370,304223,299123,276677,256360,229057,236057,343464,325612,307610,291997,286522,281760,280533,274613,268736,271922,275007,274232,267718,261567,258870,264969,269088,272139,275892,277115,273796,259507,280193,306294,321488,319002,324703
70,278978,275274,281335,284432,290676,289203,290436,296074,297896,296370,292303,291009,295119,297132,292210,270664,249765,224141,230871,335679,318548,301234,285971,280678,276064,274882,269151,263565,267001,270186,269635,263357,257282,254711,260995,264425,267844,272067,273396,269763,255756,276845,302609,317842,315276
71,267810,270452,267196,273064,276274,282381,281353,282558,287923,290497,288771,284217,283590,287613,289604,284936,263545,243822,218876,225413,327844,311483,294528,279288,274306,269790,268825,263499,258084,261725,264955,264589,258687,252567,250333,256222,259904,263653,267912,269350,265689,252330,273294,298893,313740
72,242628,258455,261197,258444,264320,267466,273583,273039,273892,279640,282586,279861,275877,275772,279551,281637,277101,256996,237656,213253,219553,318626,303889,287269,272456,267698,263324,262539,257395,252237,256243,259380,259108,253423,247517,245350,251486,255576,259087,263510,265109,261671,248579,269375,294594
73,229387,233266,248663,251493,249101,254904,258335,264579,263776,264898,271451,272859,270793,267403,267244,270752,273247,268980,250105,230915,207322,214238,308931,295715,279610,264983,260459,256479,255578,251081,246193,250073,253461,253148,248038,241723,240251,246873,250689,254262,258902,260631,257212,244666,265034
74,219431,219702,223156,238286,241342,238998,245068,248706,254491,254387,255157,261395,263229,261455,258216,258172,261304,264430,260642,242464,223981,200623,208687,298461,287069,271237,257102,252996,249020,248391,244455,239618,243605,247125,246869,241884,235911,235142,241796,245570,249269,254319,255845,252639,240147
75,205982,209110,209333,213023,227543,230257,229050,234944,238233,244379,243840,244894,251134,253089,251475,248267,248419,251782,255308,251564,234492,216074,193566,202678,287851,277816,262506,249046,244980,241195,241104,237026,232715,236461,240314,240046,235686,230111,229623,236510,240152,244028,248997,250774,247443
76,191694,195226,198296,198620,202060,216226,219215,218401,224068,227461,233136,232862,234338,240653,242237,240623,237698,238574,241866,245315,242200,225436,207701,186205,196346,276519,268138,253365,240205,236387,233476,232874,229048,225314,228972,233014,232929,229357,223786,223803,230838,234702,238320,243557,244995
77,175582,180598,184317,187192,187347,190840,204657,207612,206938,212941,216136,221379,221830,223478,229552,230883,229619,227234,228353,231144,235007,231911,215290,198937,178526,189321,264634,258098,243760,230837,227778,224875,224284,220687,217614,220996,225578,225824,222600,217331,217548,224860,228487,232445,237101
